xnone/CS224n-Natural-Language-Processing-with-Deep-Learning,stanford university,https://ror.org/00f54p054
atamarzban/madrid-weather-prediction,khatam university,https://ror.org/016tr2g85
cmda-vr/documentation,hogeschool van amsterdam,https://ror.org/00y2z2s03
Bairdo/faucet-copy,waikato university's,https://ror.org/013fsnh78
Drusy/SKFCM-Algorithm,chinese university of aeronautics and astronautics).,https://ror.org/00wk2mp56
ameliacode/SW_Basic_Design,sejong university,https://ror.org/00aft1q37
CPD-Lab/CBM_EA,autism science foundation,https://ror.org/03063wv95
norbs57/centipede,stanford university,https://ror.org/00f54p054
maxvp/pitt-campus-corner,university of pittsburgh.,https://ror.org/01an3r305
Ming-desu/smart-cctv,laguna state polytechnic university,https://ror.org/00qh12n88
Muizers/nwerc,eindhoven university of technology,https://ror.org/02c2kyt77
evanbortmas2/evanbortmas2.github.io,university of miami,https://ror.org/02dgjyy92
pietarin/Fullstack,helsinki university,https://ror.org/040af2s02
MungoTypesystem/Mungo-Typechecker,university of glasgow.,https://ror.org/00vtgdb53
sudhamshu091/MS-Sensors-and-Sensor-Circuit-Design,university of colorado boulder,https://ror.org/02ttsq026
vsantacoloma/usb-bts,simón bolívar university,https://ror.org/01ak5cj98
dasaderi/python_neurobootcamp,oregon health & science university,https://ror.org/009avj582
edwardmpearce/COM4521,university of sheffield,https://ror.org/05krs5044
dimelab-public/MTConnect-Testbed-Simulator-Public,north carolina state university,https://ror.org/04tj63d06
shalomz/iConnect-Beta,egerton university's,https://ror.org/01jk2zc89
engagementlab/making-foia-work,boston institute,https://ror.org/01t884y44
dhananjaymehta/FileManagementSystemAlloy,kansas state university,https://ror.org/05p1j8758
kvmu/KURRI-workterm,kyoto university,https://ror.org/02kpeqv85
mgrover1/ams_2021,university of illinois at urbana-champaign,https://ror.org/047426m28
patrick-fernandez/uganda-cookstove-uptake,fordham university's,https://ror.org/03qnxaf80
przybylek/GiraphAndMllib,university of illinois at urbana-champaign,https://ror.org/047426m28
iamiranjbar/XV6,university of tehran.,https://ror.org/05vf56z40
b21727795/Python_Basics,hacettepe university,https://ror.org/04kwvgz42
AHuxtable94/Version-Control-Training,university of leeds,https://ror.org/024mrxd33
antoine-bussy/qpp-examples,cambridge university,https://ror.org/013meh722
skilkis/python-scopus,association for information science and technology,https://ror.org/04y37vj38
taikamurmeli/edm_eeg_confusion_detection,helsinki university,https://ror.org/040af2s02
InnovativeInventor/InnovativeInventor,university of illinois at urbana-champaign.,https://ror.org/047426m28
bpaudel2/SQL_Animation,university of central oklahoma.,https://ror.org/02n455404
richard-miller/2019-12-03-intro-to-python-workshop,macquarie university,https://ror.org/01sf06y89
MOFplus/cmc-tools,ruhr-university bochum,https://ror.org/04tsk2644
rafaelmartinezasc/COVID-19-respirators,propulsion laboratory california institute of technology,https://ror.org/027k65916
atlant04/Grouch,georgia tech's,https://ror.org/01zkghx44
ckolluru/endothelial-cell-seg,case western reserve university's,https://ror.org/051fd9666
KwesiNavilot/uccia,university of cape coast,https://ror.org/0492nfe34
Ceiun/Play-With-Your-Name,canterbury christ church university,https://ror.org/0489ggv38
mteillet/AprilTag_3D_tracking_for_Maya,university of michigan,https://ror.org/00jmfr291
JayWalker512/game-of-life-widget-js,temple university.,https://ror.org/00kx1jb78
birdalicious/ADS_Algorithms,durham university,https://ror.org/01v29qb04
ShoeBoy/ZooKeeper_source_code,university of chinese academy of sciences.,https://ror.org/05qbk4x57
YaelBenShalom/Intro-to-Mechatronics,northwestern university,https://ror.org/000e0be47
cremerlab/ltee_diauxie,university of michigan.,https://ror.org/00jmfr291
jstevens79/Basic-Portfolio,vanderbilt university,https://ror.org/02vm5rt34
Smithienious/Smithienious,ho chi minh university of technology,https://ror.org/04qva2324
HarunSelmanKarakas/IstinyeUniversity-Homeworks,istinye university,https://ror.org/03081nz23
pdarragh/HaskQuest,university of utah,https://ror.org/03r0ha626
jessechong/pally-parry,columbia university.,https://ror.org/00hj8s172
thu-west/thu-west.github.io,tsinghua university,https://ror.org/03cve4549
sharathbhargav/CS441-A1,university of illinois at chicago,https://ror.org/02mpq6x41
markmurdock11/Algo-Owls,rice university,https://ror.org/008zs3103
fluzwup/COVID-19,johns hopkins university,https://ror.org/00za53h95
Findaaron/CS193p-SwiftUI-Spring-2020,stanford university's,https://ror.org/00f54p054
Jethrodeen/uniroma1-ADM-hw1,sapienza university of rome.,https://ror.org/02be6w209
frillecode/CDS-spring-2021-visual,aarhus university.,https://ror.org/01aj84f44
jayshah1397/MovieLens-Recommmendation-,columbia university,https://ror.org/00hj8s172
arshdkhn1/terra-technicha-hackathon-2017,national institute of technology delhi,https://ror.org/032twef21
UB-LMU/rdUB,datacite,https://ror.org/04wxnsj81
nusic/Procedural-land-piece,linköping university,https://ror.org/05ynxx418
sealsurlaw/Gator-Trader,san francisco state university,https://ror.org/05ykr0121
dkoslicki/NCATS,oregon state university,https://ror.org/00ysfqy60
TJU-CMC-Org/SingleCell-DREAM,thomas jefferson university.,https://ror.org/00ysqcn41
ECU-Sensing/ESDN_Site,east carolina university,https://ror.org/01vx35703
ventmon/ventmon,university of illinois urbana-champaign,https://ror.org/047426m28
stefanluedtke/NLP-Exercises,university of rostock.,https://ror.org/03zdwsf69
markus-nilsson/fwf_seq_resources,philips,https://ror.org/01rswjc57
emekgozluklu/basarimapp,istanbul technical university.,https://ror.org/059636586
STRIDES-Codes/Creating-a-data-analytics-dashboards-highlighting-minority-maternal-health-disparities,bloomberg,https://ror.org/02rdpzb15
andrepbento/CM_Workshop,university of coimbra,https://ror.org/04z8k9a98
gching/ece454-eecg-labs-hero,university of toronto.,https://ror.org/03dbr7087
MahopacHS/spring-2020-neubauerc,syracuse university!,https://ror.org/025r5qe02
forest1040/jsalt-2019-mt-tutorial,google,https://ror.org/00njsd438
bbkk0502/Word2vec-model-for-ontology-construction,university of cambridge.,https://ror.org/013meh722
proycon/oersetter-models,radboud university nijmegen,https://ror.org/016xsfp80
atmfaisal/Automation-of-Project-Proposal-Process,shahjalal university of science & technology.,https://ror.org/05hm0vv72
CM10313-Group-1/tempest,university of bath,https://ror.org/002h8g185
MPGundling/Boeing_UGV,pennsylvania state university.,https://ror.org/04p491231
rajeevranjancom/System_Design_Books,massachusetts institute of technology,https://ror.org/042nb2s44
derrowap/AES-Rijndael-Encryption,rose-hulman institute of technology.,https://ror.org/00mp6e841
pavponn/machine-learning,itmo university,https://ror.org/04txgxn49
changgang/steps,shandong university.,https://ror.org/0207yh398
wendell1101/VotingSystem,polytechnic university of the philippines,https://ror.org/00e7vmq69
RandyDeo/INFO3604_Project,university of the west indies’,https://ror.org/003kgv736
shandysiswandi/Learning-Javascript-with-Example,google,https://ror.org/00njsd438
ctimmons1/TrackSigFreq-dev,university of toronto.,https://ror.org/03dbr7087
Shaneace89/CS2308-Assign7,texas state university,https://ror.org/05h9q1g27
TobiasRitter/PyNN,technical university of munich.,https://ror.org/02kkvpp62
rohitvuppala/CM1SS,university of wyoming,https://ror.org/01485tq96
Natali17/santa,moscow institute of physics and technologies,https://ror.org/00v0z9322
NiroshR/Kijiji-Scraper,university of waterloo,https://ror.org/01aff2v68
JIllWesterfelhaus/reactportfolio2,northwestern university,https://ror.org/000e0be47
bejphil/CPP_Algorithms_Interview_Questions,university of washington.,https://ror.org/00cvxb145
petermax2/ublu-2013s,vienna university of technology.,https://ror.org/04d836q62
iharneetsingh/WorldIoTHack,chandigarh university,https://ror.org/05t4pvx35
Andyshome/untitled,apple,https://ror.org/01vpeym60
weissguts/QuickieHelp,university of denver,https://ror.org/04w7skc03
NickKaparinos/Data-Analysis-AUTh-2020,aristotle university thessaloniki,https://ror.org/02j61yw88
Victor-Palacios/msds689,university of san francisco](https://www.usfca.edu/arts-sciences/graduate-programs/data-science).,https://ror.org/045ae7j03
asantebuil/room-reservation,texas wesleyan university,https://ror.org/03vdm5c68
saurabhj80/BookSC,facebook,https://ror.org/01zbnvs85
tivonj/Credit_Line_Increase,george washington university,https://ror.org/00y4zzh67
rzgeer/01-Interactive-Fiction,indiana university,https://ror.org/01kg8sb98
kylelang/lavaan-e-learning,utrecht university,https://ror.org/04pp8hn57
nicklamyeeman/Pooloulou,keimyung university,https://ror.org/00tjv0s33
EnguerranVidal/Turbulent-Convection-with-Dedalus,university of exeter,https://ror.org/03yghzc09
divakar-lakhera/Makeathon2020,facebook,https://ror.org/01zbnvs85
wangz10/liac-arff,federal university of rio grande do sul brazil.,https://ror.org/041yk2d64
combra-lab/combra_loihi,rutgers university.,https://ror.org/05vt9qd57
dev-acoustikue/nyscec3,yonsei university,https://ror.org/01wjejq96
faisalabuzaid/about-me-1,university of jordan.,https://ror.org/05k89ew48
lclark7/clock,university of mary washington.,https://ror.org/03b48gv34
UNT-5214-P2/Persona,international computer science institute,https://ror.org/01ewh7m12
RobertYCXu/vae_vampprior,university of waterloo.,https://ror.org/01aff2v68
doerlbh/tkMapper,columbia university,https://ror.org/00hj8s172
kescobar10/wp_krummenforcouncil,university of florida.,https://ror.org/02y3ad647
jdbedics/thesishandbook,california lutheran university,https://ror.org/05qpen692
JakubSroka/reactive-lab1,agh university of science and technology,https://ror.org/00bas1c41
emilburzo/analytics,google,https://ror.org/00njsd438
lauralin08/harry-potter-tower-defense,oregon state university.,https://ror.org/00ysfqy60
liam-barnes/stats220,university of auckland.,https://ror.org/03b94tp07
jeffseverson2001/React-Portfolio,university of minnesota,https://ror.org/017zqws13
kshvmdn/uoft-scrapers,university of toronto,https://ror.org/03dbr7087
liweizhuo001/SAMR2,nanjing university of posts and telecommunications.,https://ror.org/043bpky34
AleksandarDashov/New-Bulgarian-University,new-bulgarian-university,https://ror.org/002qhr126
quantumofme/pavia-qiskit-tutorials,university of pavia,https://ror.org/00s6t1f81
Brendo-Lino/Star-Jam,federal university of minas gerais.,https://ror.org/0176yjw32
limdool/05-Space-shooter-1,indiana university),https://ror.org/01kg8sb98
iamphuc/Tabu-Search,university of mannheim,https://ror.org/031bsb921
hcd3/Illini-Tutor,university of illinois urbana-champaign.,https://ror.org/047426m28
fourBananas/softwareTesting,tampere university.,https://ror.org/033003e23
alexporthal/refactoring-smell-long-method-atl,federal university of são carlos brazil),https://ror.org/00qdc6m37
nickosh/chinese-tones-practice,michigan state university,https://ror.org/05hs6h993
PegasusKTH/pegasus.projectpage.io,royal institute of technology.,https://ror.org/026vcq606
sharkdevs/sdamksu-frontend,machakos university,https://ror.org/05eyrmk93
dhrumil29796/Dalhousie_University_CSCI5410_SDP,dalhousie university,https://ror.org/01e6qks80
clulab/SBM_2022_LIvES,society of behavioral medicine,https://ror.org/05b724e43
SherrieTsao/Firestore_Algolia_Functions,google,https://ror.org/00njsd438
kal3bo/International-Students-Web-Solution,materia: desarrollo de aplicaciones en la nube fe,https://ror.org/03tx9ef16
cmontrond/ai-maze,bridgewater state university.<br>,https://ror.org/02x3skf39
lmitrovic6/LAQM---KARP,rutgers university.,https://ror.org/05vt9qd57
yangyang14641/MathematicalExperiments,chongqing university,https://ror.org/023rhb549
barstowlab/macroscope-image-analyzer,cornell university,https://ror.org/05bnh6r87
be-oi/beoi-contest-platform,amazon,https://ror.org/00b9ktm87
NESCLiC/2018-04-18-YUL,yale university,https://ror.org/03v76x132
ndkurogo/printatnd,university of notre dame's,https://ror.org/00mkhxb43
jiwonMe/isRanked,hanyang university,https://ror.org/046865y68
MoatazFarid/Bioinformatics-Course-Labs,ain shams university,https://ror.org/00cb9w016
Steven-Soult-Jr/teamwebsite,san francisco state university.,https://ror.org/05ykr0121
BLSLegalHackers/OpenMediaLegalHack,brooklyn law school,https://ror.org/002w9k038
francoisleroux16/MRN_Final,university of pretoria,https://ror.org/00g0p6g84
compmedlab/gGAN,university college london,https://ror.org/02jx3x895
vsantacoloma/usb-expose-a-teacher,simón bolívar university,https://ror.org/01ak5cj98
zalanfarkas/sam-raspberrypi,university of aberdeen,https://ror.org/016476m91
Ewenwan/PoseCNN,university of washington.,https://ror.org/00cvxb145
ramalok/community.ecology.with.r,university of oslo,https://ror.org/01xtthb56
RhodesHvZ/hivemind-worker,rhodes university,https://ror.org/016sewp10
gregor-fausto/seed-bank-inference,cornell university,https://ror.org/05bnh6r87
arkantos493/uni-stuttgart-beamer-template,university of stuttgart,https://ror.org/04vnq7t77
lidalei/VisAss,eindhoven university of technology,https://ror.org/02c2kyt77
jasperanders/oForest,karlsruhe institute of technology,https://ror.org/04t3en479
pollarize/ImageRecognition,sofia university,https://ror.org/02jv3k292
vikas-parashar/vikasparashar.in,national institute of technology surat,https://ror.org/02y394t43
Jam-cpu/Masters-Project---Final,heriot-watt university,https://ror.org/0059w0420
cfe84/42sh,engineering,https://ror.org/045s9b323
adlawren/guava,university of alberta,https://ror.org/0160cpw27
Steven5678231/MIT-Assignment-Unimelb,university of melbourne,https://ror.org/01ej9dk98
nowshad-sust/sustian-rps,shahjalal university of science & technology.,https://ror.org/05hm0vv72
Oppevara/h5p-editor-rubric,tallinn university,https://ror.org/05mey9k78
Communio-Templorum/libris-sanctis,tufts university,https://ror.org/05wvpxv85
kyawswarhtun/aws-robomaker-robotics-curriculum,amazon,https://ror.org/00b9ktm87
fberetta8/bbt,politecnico di milano,https://ror.org/01nffqt88
UlrikBuchholtz/HoTT-Intro,carnegie mellon university,https://ror.org/05x2bcf33
mbrignone/PdM_CESE_Final_Project,university of buenos aires,https://ror.org/0081fs513
yasminsarkhosh/fyp2021p3,university of copenhagen.,https://ror.org/035b05819
mbuet2ner/Unity3Dmice,university of oulu.,https://ror.org/03yj89h83
jarvis-1805/jarvis-1805,university of delhi.'),https://ror.org/04gzb2213
thoon4/Statistics_Py,korea brain research institute,https://ror.org/055zd7d59
yedam-Lee/myfirstrepo,handong global university,https://ror.org/00txhkt32
chriscn/MAT00011C,university of york.,https://ror.org/04m01e293
jakedallinson/attendance-tracker,cedarville university,https://ror.org/01t28d595
alessandrojean/PPW-2019.2,federal university of abc,https://ror.org/028kg9j04
WhiteSpider/study-python,jinan university,https://ror.org/02xe5ns62
gionanide/Speech-Signal-Processing-and-Classification,aristotle university of thessaloniki,https://ror.org/02j61yw88
roshansourav/JustBILL,university of hyderabad,https://ror.org/04a7rxb17
BryceHaley/project-template-python,simon fraser university,https://ror.org/0213rcc28
Globe-Eater/Geographic-Analysis,oklahoma state university.,https://ror.org/01g9vbr38
adugna-alemayehu/flat_php-social_hub,addis ababa science and technology university,https://ror.org/02psd9228
msSarriman/UniversityProject_ArtificialIntelligence_ThreeBottlesProblem_LISP,university of patras,https://ror.org/017wvtq80
shinesunni/Biofeedback-Game-System,california state university long beach,https://ror.org/0080fxk18
LandscapeGeoinformatics/adapt_hist_nb2021,university of tartu,https://ror.org/03z77qz90
nfranczak/COMP333,wesleyan university.,https://ror.org/05h7xva58
xiangzuo951218/h-index-reader,google,https://ror.org/00njsd438
fameyer/pymorWin,university of münster,https://ror.org/00pd74e08
stoianov/CN2019,university of padova,https://ror.org/00240q980
hstojic/fmriprep,stanford university,https://ror.org/00f54p054
jmfinnegan12/1Dtransport,tufts university,https://ror.org/05wvpxv85
BiancaPereira/study-70-480,microsoft,https://ror.org/001dd4s60
arthurrump/sprockell,university of twente.,https://ror.org/006hf6230
guettel/split-lecture,university of manchester,https://ror.org/027m9bs27
wanghan0501/scuthesis,sichuan university},https://ror.org/011ashp19
MariusHolm/Pinball2DFlowControlDRL,university of oslo.,https://ror.org/01xtthb56
AdamGeorge4/TheEyesHaveIt,massachusetts institute of technology,https://ror.org/042nb2s44
jaradeprest/StipJe-S-Trip,apache,https://ror.org/052vnbj45
qiinori/CSI-2372,university of ottawa,https://ror.org/03c4mmv16
mychaelgo/flutter-plugins,technical university of denmark.,https://ror.org/04qtj9h94
chrsshn/SAFTB,university of michigan.,https://ror.org/00jmfr291
rz6/CopulaHiC,university of warsaw,https://ror.org/039bjqg32
ylht/Touchstone,east china normal university,https://ror.org/02n96ep67
Josh-Been/baylorbiblicalart,baylor university,https://ror.org/005781934
senseLab-BITS/SenseLab-BITS.github.io,birla institute of technological sciences-pilani,https://ror.org/001p3jz28
bakerb845/compearth,university of alaska fairbanks,https://ror.org/01j7nq853
hemantsurale/CS870-Neural-Network-Project,university of waterloo,https://ror.org/01aff2v68
fwfichtner/indooBK,tu delft.,https://ror.org/02e2c7k09
maxim123/183_style_grader,university of michigan.,https://ror.org/00jmfr291
KKDJOSEPH/Home_Page,northeastern university</a>,https://ror.org/02ahky613
lennyvarghese/ANLffr,boston university,https://ror.org/05qwgg493
Iury189/web,instituto federal de educação ciência e tecnologia baiano,https://ror.org/01dv63r93
ceeblet/daapworks_public,university of cincinnati,https://ror.org/01e3m7079
arikai/rss_flask,itmo university.,https://ror.org/04txgxn49
NoahsArk36/Book-management-system,beijing university of chemical technology,https://ror.org/00df5yc52
MayoJay/Industrial-Project,hawassa university,https://ror.org/04r15fz20
neurohackweek/visualization-in-python,university of washington,https://ror.org/00cvxb145
aguenter/embedded,bielefeld university of applied sciences,https://ror.org/00edvg943
C-HARRIETH/HOUSE-PRICE-ANALYSIS,google,https://ror.org/00njsd438
cnasikas/thesis,national and kapodistrian university of athens.,https://ror.org/04gnjpq42
definitelysean/headlessGSEA,broad institute,https://ror.org/05a0ya142
junhochoi-git/python_DataAnaylsis_of_CORONA_Impact,dongguk university,https://ror.org/057q6n778
KajaTml/final-group-work,tallinn university.,https://ror.org/05mey9k78
JayathmaChathurangani/sales-first-self-service-bi-1,microsoft,https://ror.org/001dd4s60
AaltoScienceIT/cheatsheets,aalto university,https://ror.org/020hwjq30
bbutler-tssg/phd-thesis-template-fork-wit,cambridge university,https://ror.org/013meh722
annakrystalli/ACCE,university of sheffield,https://ror.org/05krs5044
LukeHealy/AMI-Assignment,curtin university**,https://ror.org/02n415q13
Gmrkc/Gmrkc,adnan menderes university,https://ror.org/03n7yzv56
emrickgarrett/reserveseatsforme,miami university.,https://ror.org/05nbqxr67
louay-hesham/ssp_helper,alexandria university,https://ror.org/00mzz1w90
menolin/menolin.github.io,university of delaware,https://ror.org/01sbq1a82
SeyedMuhammadHosseinMousavi/On-the-Feasibility-of-Estimating-Fruits-Weights-Using-Depth-Sensors,tabriz islamic art university iran.,https://ror.org/00kj4zk54
ajdeguzman/ucu.edu.ph,urdaneta city university,https://ror.org/03626nk78
DarrenZhang01/CSC2541H-Poster-Presentation,university of toronto,https://ror.org/03dbr7087
frankfanslc/COVID-19,johns hopkins university,https://ror.org/00za53h95
EMmobility/emm_site,stanford university.,https://ror.org/00f54p054
Gabehoverman/Senior-Project,marshall university,https://ror.org/02erqft81
jjzhang166/udt4,google,https://ror.org/00njsd438
szks/gfk_aics,the university of tokyo.,https://ror.org/057zh3y96
BCLab-UNM/ChiliHouse,cabrillo college’s,https://ror.org/04srpvh96
michelleckelly/College-Town-COVID-19-Mapper,marquette university,https://ror.org/04gr4te78
sandhose/z33-emulator,university of strasbourg.,https://ror.org/00pg6eq24
miykael/journal_club_uab,university of alabama at birmingham,https://ror.org/008s83205
Alpha-1729/degoogle,google,https://ror.org/00njsd438
jforberg/iceberg,amazon,https://ror.org/00b9ktm87
JoshhhBailey/VFX_Chess,bournemouth university.*<br,https://ror.org/05wwcw481
silencelearner/instrumentationAndControlAllMaterials,university of liverpool.,https://ror.org/04xs57h96
ewanpandelus/GameBasedLearning,university of glasgow.,https://ror.org/00vtgdb53
angela139/apcs-projects,google,https://ror.org/00njsd438
SebasSaenz/Coding_club,university of hohenheim.,https://ror.org/00b1c9541
Noctis0712/MUQuestionPaperBot,mumbai university.,https://ror.org/032hdk172
mykedean/sleep-variations,university of victoria,https://ror.org/04s5mat29
tillbiskup/beamertheme-uds,university of saarland.,https://ror.org/01jdpyv68
alizare1/Covid-19-Xray-Classifier-Neural-Network,university of tehran.,https://ror.org/05vf56z40
manodg/dyspneaBRL,university of pittburgh,https://ror.org/01an3r305
kourk0am/JHUreader,johns hopkins university,https://ror.org/00za53h95
DrewNF/Write-Thesis-in-Latex,politecnico di torino).,https://ror.org/00bgk9508
malikalbeik/Remind-me,bilkent university,https://ror.org/02vh8a032
vatsalkesarwani/Academic-Projects,at university of texas arlington,https://ror.org/019kgqr73
Roljed/Cyclistic-Case-Study,google,https://ror.org/00njsd438
Fanurs/smart-attendence-device,michigan state university,https://ror.org/05hs6h993
fgnt/upb_audio_tagging_2019,paderborn university,https://ror.org/058kzsd48
schoolofdata-ch/swisscovid-stats,swiss office of information technology systems and telecommunication,https://ror.org/03wmjwc96
